Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration
1,594309252956561,594309337702321,9223372036854775807,0,594309353858067,594309353895837,594309354241567,594309384739952,594309386710760,594309387223683,594309387969837,594309391765760,594309393860798,339000,527000,
0,594309367257912,594309418105368,9223372036854775807,0,594309433145683,594309433152106,594309433415029,594309433592221,594309433757914,594309434067337,594309434990067,594309440123606,594309442037683,486000,574000,
0,594309451404260,594309502251716,9223372036854775807,0,594309511413952,594309511444029,594309511684914,594309511847029,594309511878029,594309512113567,594309512387798,594309516334567,594309519398875,1050000,1722000,
0,594309601712668,594309618661820,9223372036854775807,0,594309622406721,594309622440644,594309622719798,594309628376144,594309629527452,594309629744837,594309630117452,594309632257337,594309634115452,409000,529000,
0,594309769164917,594309820012373,9223372036854775807,0,594309821944490,594309821970106,594309822082106,594309822317298,594309822733144,594309823135259,594309823408336,594309825539798,594309828029259,338000,1258000,
0,594309919868065,594309936817217,9223372036854775807,0,594309938846067,594309938877875,594309938883221,594309939098221,594309939258259,594309939478413,594309939792913,594309941974721,594309943948759,464000,421000,
0,594309970103106,594309970103106,9223372036854775807,0,594309970780682,594309970807221,594309970811798,594309970978298,594309971049106,594309971356990,594309971625606,594309974078067,594309976001029,502000,503000,
1,594755876177852,594755876177852,9223372036854775807,0,594755876730633,594755876779517,594755876786748,594755913808825,594755918318863,594755918831017,594755919602979,594755941721671,594755946751979,814000,678000,
1,594757951853724,594757951853724,9223372036854775807,0,594757953700247,594757953733170,594757953739016,594757996455747,594758000658285,594758001385400,594758002119477,594758010868977,594758013116400,737000,390000,
0,595138827336769,595138861235073,9223372036854775807,0,595138875151474,595138875202436,595138875214513,595138875453397,595138876152090,595138876464859,595138876764820,595138880990820,595138890312051,607000,7716000,
1,595259866628135,595259934424743,9223372036854775807,0,595259937765464,595259937793734,595259937798695,595259947422157,595259949837657,595259950264849,595259951185734,595259959366464,595259960699618,4525000,300000,
1,595260034024971,595260034024971,9223372036854775807,0,595260038130734,595260038182657,595260038194349,595260047854003,595260047908695,595260048021695,595260048126811,595260053986926,595260056220041,2596000,1047000,
0,596233672008191,596233672008191,9223372036854775807,0,596233672365306,596233672395537,596233672401614,596233672526999,596233672934614,596233673111306,596233673256306,596233675582845,596233676988422,167000,285000,
1,596315692827984,596315811472048,9223372036854775807,0,596315822320171,596315822352363,596315822357902,596315835086055,596315837248978,596315837664632,596315837931978,596315845097055,596315847427478,2525000,1069000,
